area,bedrooms,bathrooms,floors,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefneighbourhood,furnishingstatus
4920,3,1,2,1,0,0,0,0,1,0,semi-furnished
6480,3,1,2,0,0,0,0,1,1,0,semi-furnished
4520,3,1,2,1,0,1,0,1,0,0,semi-furnished
2910,2,1,1,0,0,0,0,0,0,0,unfurnished
8875,3,1,1,1,0,0,0,0,1,0,semi-furnished
3300,3,1,2,0,0,0,0,0,1,0,semi-furnished
5400,2,1,2,1,0,0,0,0,0,1,semi-furnished
3162,3,1,2,1,0,0,0,1,1,0,furnished
2275,3,1,3,1,0,0,1,1,0,1,semi-furnished
5040,3,1,2,1,0,1,0,1,0,0,unfurnished
3500,4,1,2,1,0,0,0,1,2,0,unfurnished
6600,4,2,2,1,1,1,0,0,0,1,semi-furnished
3036,3,1,2,1,0,1,0,0,0,0,semi-furnished
3150,3,1,2,0,0,0,0,0,0,0,unfurnished
5000,3,1,3,1,0,0,0,1,0,0,semi-furnished
6240,4,2,2,1,0,0,0,1,1,0,furnished
6000,3,2,4,1,0,0,0,1,0,0,unfurnished
5500,3,1,3,1,1,0,0,1,1,0,furnished
3970,1,1,1,0,0,0,0,0,0,0,unfurnished
8100,4,1,2,1,1,1,0,1,2,1,furnished
4100,4,1,1,0,0,1,0,0,0,0,unfurnished
3850,2,1,1,1,0,0,0,0,0,0,semi-furnished
11175,3,1,1,1,0,1,0,1,1,1,furnished
4079,3,1,3,1,0,0,0,0,0,0,semi-furnished
7800,3,2,2,1,0,0,0,0,0,1,semi-furnished
6900,3,1,1,1,1,1,0,0,0,1,semi-furnished
6550,3,1,2,1,0,1,0,1,0,1,furnished
3520,3,1,1,1,0,0,0,0,2,1,unfurnished
6100,3,1,1,1,0,1,0,1,0,1,semi-furnished
3000,4,1,2,1,0,0,0,0,0,0,unfurnished
6040,3,1,1,1,0,0,0,0,2,1,semi-furnished
3185,2,1,1,1,0,0,0,0,2,0,unfurnished
6360,2,1,1,1,0,0,0,0,0,0,furnished
6800,2,1,1,1,0,0,0,0,0,0,unfurnished
4350,3,1,2,0,0,0,1,0,1,0,unfurnished
2145,4,2,1,1,0,1,0,0,0,1,unfurnished
2870,2,1,2,1,1,1,0,0,0,1,semi-furnished
3000,3,1,2,1,0,1,0,1,0,0,semi-furnished
3420,4,2,2,1,0,1,0,1,2,0,semi-furnished
2325,3,1,2,0,0,0,0,0,0,0,semi-furnished
4400,3,1,2,1,0,0,0,0,0,0,unfurnished
3450,3,1,2,1,0,1,0,0,1,0,semi-furnished
3420,5,1,2,0,0,0,0,0,0,0,unfurnished
5495,3,1,1,1,0,1,0,0,0,0,unfurnished
3620,2,1,1,1,0,0,0,0,0,0,unfurnished
4500,3,1,1,1,0,1,0,0,0,0,furnished
3420,2,1,2,1,0,0,1,0,1,0,semi-furnished
3900,3,1,2,1,0,0,0,0,0,0,unfurnished
3450,1,1,1,1,0,0,0,0,0,0,furnished
4095,3,1,2,0,1,1,0,1,0,0,semi-furnished
6100,3,1,3,1,1,0,0,1,0,1,semi-furnished
6000,4,2,4,1,0,0,0,0,2,0,semi-furnished
6862,3,1,2,1,0,0,0,1,2,1,furnished
9500,3,1,2,1,0,0,0,0,3,1,unfurnished
7600,4,1,2,1,0,0,0,1,2,0,furnished
4632,4,1,2,1,0,0,0,1,0,0,semi-furnished
6360,2,1,1,1,0,1,0,1,1,0,furnished
4500,3,1,4,1,0,0,0,1,0,0,unfurnished
5150,3,2,4,1,0,0,0,1,2,0,semi-furnished
4600,4,1,2,1,0,0,0,0,0,0,semi-furnished
8960,4,4,4,1,0,0,0,1,3,0,furnished
2430,3,1,1,0,0,0,0,0,0,0,unfurnished
3600,3,1,1,1,0,0,0,0,1,0,unfurnished
7440,3,2,1,1,1,1,0,1,0,1,semi-furnished
4960,4,1,3,0,0,0,0,0,0,0,semi-furnished
6000,3,1,2,1,0,0,1,0,1,1,semi-furnished
6300,3,1,1,1,0,0,0,1,2,0,semi-furnished
6840,5,1,2,1,1,1,0,1,1,0,furnished
2500,2,1,1,0,0,0,0,1,0,0,unfurnished
3968,3,1,2,0,0,0,0,0,0,0,semi-furnished
2145,3,1,2,1,0,1,0,0,0,1,furnished
4500,3,1,2,1,0,0,0,1,0,0,unfurnished
4320,3,1,1,0,0,0,0,0,1,0,unfurnished
3630,2,1,1,1,0,1,0,0,0,0,furnished
6750,2,1,1,1,1,1,0,0,2,1,furnished
3180,4,2,2,1,0,0,0,0,0,0,furnished
3640,2,1,1,1,0,0,0,0,0,0,unfurnished
6000,4,2,4,1,1,0,0,1,1,0,furnished
2015,3,1,2,1,0,1,0,0,0,1,semi-furnished
4900,2,1,2,1,0,1,0,0,0,0,semi-furnished
3760,3,1,1,1,0,0,0,0,2,0,semi-furnished
3500,4,2,2,1,0,0,1,0,2,0,furnished
5600,2,1,1,1,0,0,0,1,0,0,semi-furnished
7410,3,1,1,1,1,1,0,1,2,1,unfurnished
4240,3,1,2,1,0,0,0,1,0,0,semi-furnished
3500,4,1,2,1,0,0,0,0,2,0,furnished
7800,3,1,1,1,0,1,0,1,2,1,unfurnished
4500,3,2,2,0,0,1,0,1,0,0,semi-furnished
2990,2,1,1,0,0,0,0,0,1,0,unfurnished
7000,3,1,1,1,0,1,0,0,2,1,semi-furnished
4840,3,1,2,1,0,0,0,0,1,0,semi-furnished
3040,2,1,1,0,0,0,0,0,0,0,unfurnished
1950,3,1,1,0,0,0,1,0,0,0,unfurnished
3185,2,1,1,1,0,0,0,1,0,0,unfurnished
3000,4,1,3,1,0,1,0,1,2,0,semi-furnished
2550,3,1,2,1,0,1,0,0,0,0,furnished
3540,2,1,1,0,1,1,0,0,0,0,semi-furnished
3000,2,1,2,1,0,0,0,0,0,0,semi-furnished
2880,3,1,1,0,0,0,0,0,0,0,unfurnished
7680,4,2,4,1,1,0,0,1,1,0,semi-furnished
4352,4,1,2,0,0,0,0,0,1,0,unfurnished
9860,3,1,1,1,0,0,0,0,0,0,semi-furnished
7155,3,2,1,1,1,1,0,1,2,0,unfurnished
3680,3,2,2,1,0,0,0,0,0,0,semi-furnished
3500,2,1,1,1,0,0,0,0,0,0,unfurnished
6210,4,1,4,1,1,0,0,1,0,0,furnished
4400,2,1,1,1,0,0,0,0,1,0,semi-furnished
10700,3,1,2,1,1,1,0,0,0,0,semi-furnished
3640,2,1,1,1,0,0,0,0,0,0,unfurnished
1950,3,2,2,1,0,1,0,0,0,1,unfurnished
2640,2,1,1,0,0,0,0,0,1,0,furnished
4080,2,1,1,1,0,0,0,0,0,0,semi-furnished
4046,3,1,2,1,0,1,0,0,1,0,semi-furnished
4800,3,1,1,1,1,1,0,0,0,0,unfurnished
6000,4,1,3,1,1,1,0,0,0,1,unfurnished
3180,3,1,2,0,0,1,0,0,0,0,semi-furnished
3960,3,1,1,1,0,1,0,0,2,0,semi-furnished
3850,3,1,2,1,0,0,0,0,0,0,unfurnished
4050,2,1,2,1,1,1,0,0,0,1,unfurnished
4350,2,1,1,1,0,1,0,0,0,0,unfurnished
3090,3,1,2,0,0,0,0,0,0,0,semi-furnished
7231,3,1,2,1,1,1,0,1,0,1,semi-furnished
4320,3,1,2,1,0,1,1,0,2,0,semi-furnished
6000,4,2,4,1,0,0,0,1,0,0,unfurnished
5450,4,2,1,1,0,1,0,1,0,1,semi-furnished
4500,3,2,3,1,0,0,1,0,1,0,furnished
4040,2,1,1,1,0,0,0,0,0,0,unfurnished
5500,3,2,4,1,1,0,0,1,1,0,semi-furnished
